iter	Passed	Remaining
405	7642	11180
406	7662	11163
407	7688	11155
408	7710	11141
409	7730	11124
410	7751	11108
411	7769	11088
412	7789	11071
413	7811	11056
414	7840	11052
415	7861	11035
416	7881	11018
417	7902	11003
418	7922	10985
419	7947	10974
420	7969	10960
421	8001	10959
422	8020	10941
423	8041	10924
424	8060	10905
425	8079	10886
426	8099	10869
427	8117	10848
428	8135	10828
429	8157	10813
430	8177	10796
431	8196	10776
432	8212	10753
433	8233	10737
434	8251	10717
435	8268	10695
436	8285	10673
437	8309	10662
438	8326	10640
439	8341	10616
440	8359	10596
441	8380	10579
442	8399	10560
443	8416	10539
444	8436	10522
445	8458	10506
446	8476	10486
447	8496	10468
448	8511	10445
449	8530	10426
450	8554	10413
451	8571	10392
452	8588	10370
453	8609	10354
454	8627	10333
455	8644	10312
456	8659	10289
457	8678	10270
458	8695	10248
459	8709	10223
460	8724	10201
461	8742	10180
462	8769	10171
463	8790	10154
464	8807	10132
465	8826	10115
466	8853	10105
467	8876	10090
468	8894	10070
469	8914	10052
470	8931	10031
471	8947	10009
472	8967	9991
473	8985	9971
474	9001	9949
475	9019	9928
476	9037	9909
477	9055	9889
478	9075	9870
479	9091	9848
480	9109	9829
481	9127	9808
482	9143	9787
483	9161	9767
484	9180	9747
485	9201	9731
486	9219	9711
487	9239	9693
488	9259	9675
489	9278	9657
490	9294	9635
491	9309	9612
492	9325	9590
493	9344	9571
494	9368	9557
495	9385	9536
496	9401	9515
497	9418	9494
498	9433	9471
499	9450	9450
500	9466	9428
501	9484	9408
502	9499	9386
503	9515	9364
504	9531	9342
505	9546	9320
506	9562	9298
507	9578	9276
508	9602	9262
509	9624	9246
510	9644	9229
511	9666	9213
512	9681	9191
513	9697	9169
514	9713	9147
515	9730	9126
516	9746	9105
517	9761	9083
518	9776	9060
519	9791	9038
520	9809	9018
521	9823	8995
522	9837	8972
523	9851	8949
524	9869	8929
525	9884	8906
526	9899	8884
527	9915	8863
528	9929	8840
529	9943	8817
530	9960	8797
531	9975	8775
532	9990	8753
533	10005	8731
534	10022	8711
535	10039	8691
536	10059	8672
537	10073	8650
538	10088	8628
539	10103	8606
540	10119	8585
541	10134	8564
542	10150	8543
543	10168	8523
544	10183	8502
545	10199	8480
546	10216	8460
547	10232	8439
548	10248	8419
549	10267	8401
550	10284	8380
551	10299	8359
552	10318	8340
553	10339	8323
554	10358	8305
555	10375	8285
556	10393	8266
557	10416	8250
558	10432	8230
559	10449	8210
560	10473	8195
561	10493	8178
562	10509	8157
563	10524	8136
564	10540	8115
565	10559	8096
566	10574	8075
567	10589	8054
568	10613	8039
569	10629	8018
570	10648	8000
571	10664	7979
572	10679	7958
573	10694	7937
574	10710	7916
575	10725	7894
576	10742	7875
577	10759	7855
578	10775	7835
579	10790	7814
580	10807	7793
581	10821	7772
582	10837	7751
583	10858	7734
584	10874	7714
585	10890	7693
586	10905	7673
587	10923	7654
588	10945	7637
589	10961	7617
590	10976	7596
591	10993	7576
592	11010	7556
593	11024	7535
594	11039	7514
595	11058	7495
596	11074	7475
597	11089	7455
598	11106	7435
599	11120	7413
600	11137	7393
601	11155	7375
602	11171	7355
603	11187	7334
604	11205	7315
605	11222	7296
606	11239	7277
607	11262	7261
608	11280	7242
609	11297	7222
610	11313	7202
611	11330	7183
612	11349	7165
613	11365	7145
614	11381	7125
615	11397	7104
616	11412	7084
617	11428	7064
618	11452	7049
619	11467	7028
620	11484	7008
621	11501	6989
622	11517	6969
623	11532	6949
624	11550	6930
625	11565	6909
626	11580	6889
627	11597	6869
628	11613	6849
629	11629	6830
630	11649	6812
631	11666	6793
632	11682	6773
633	11699	6754
634	11725	6739
635	11743	6721
636	11758	6700
637	11775	6681
638	11792	6662
639	11809	6642
640	11825	6623
641	11843	6604
642	11859	6584
643	11876	6565
644	11893	6545
645	11908	6525
646	11924	6505
647	11941	6486
648	11960	6468
649	11981	6451
650	11997	6432
651	12012	6411
652	12033	6394
653	12056	6378
654	12072	6358
655	12087	6338
656	12103	6318
657	12119	6299
658	12135	6279
659	12151	6259
660	12165	6239
661	12183	6220
662	12199	6200
663	12215	6181
664	12231	6161
665	12248	6142
666	12267	6124
667	12283	6104
668	12298	6085
669	12315	6065
670	12332	6046
671	12349	6027
672	12364	6007
673	12380	5988
674	12395	5968
675	12411	5948
676	12427	5929
677	12441	5908
678	12458	5889
679	12474	5870
680	12493	5852
681	12513	5834
682	12531	5816
683	12550	5798
684	12571	5781
685	12589	5762
686	12604	5742
687	12624	5725
688	12640	5705
689	12658	5687
690	12674	5667
691	12692	5649
692	12708	5629
693	12724	5610
694	12740	5591
695	12755	5571
696	12772	5552
697	12789	5533
698	12805	5514
699	12823	5495
700	12841	5477
701	12859	5458
702	12876	5440
703	12892	5420
704	12909	5401
705	12927	5383
706	12943	5363
707	12958	5344
708	12975	5325
709	12992	5306
710	13015	5290
711	13037	5273
712	13054	5254
713	13071	5235
714	13092	5218
715	13110	5200
716	13126	5181
717	13145	5162
718	13160	5143
719	13176	5124
720	13192	5105
721	13208	5085
722	13228	5068
723	13243	5048
724	13261	5030
725	13277	5011
726	13293	4991
727	13310	4973
728	13326	4954
729	13341	4934
730	13356	4914
731	13372	4895
732	13388	4876
733	13404	4857
734	13420	4838
735	13434	4819
736	13452	4800
737	13467	4781
738	13482	4761
739	13498	4742
740	13518	4724
741	13540	4708
742	13558	4689
743	13575	4671
744	13591	4652
745	13611	4634
746	13627	4615
747	13642	4596
748	13662	4578
749	13680	4560
750	13696	4541
751	13715	4523
752	13730	4503
753	13748	4485
754	13766	4467
755	13782	4448
756	13799	4429
757	13820	4412
758	13837	4393
759	13854	4375
760	13870	4356
761	13885	4336
762	13901	4318
763	13919	4299
764	13934	4280
765	13955	4263
766	13971	4244
767	13986	4225
768	14002	4206
769	14021	4188
770	14038	4169
771	14056	4151
772	14073	4132
773	14088	4113
774	14105	4095
775	14122	4076
776	14139	4058
777	14155	4039
778	14172	4020
779	14188	4001
780	14206	3983
781	14226	3965
782	14241	3946
783	14258	3928
784	14277	3910
785	14298	3892
786	14315	3874
787	14332	3855
788	14349	3837
789	14364	3818
790	14379	3799
791	14393	3780
792	14411	3761
793	14427	3743
794	14447	3725
795	14463	3706
796	14479	3688
797	14495	3669
798	14513	3651
799	14529	3632
800	14546	3613
801	14563	3595
802	14578	3576
803	14597	3558
804	14612	3539
805	14628	3521
806	14646	3502
807	14663	3484
808	14679	3465
809	14696	3447
810	14714	3429
811	14729	3410
812	14746	3391
813	14762	3373
814	14777	3354
815	14792	3335
816	14808	3317
817	14822	3298
818	14838	3279
819	14855	3260
820	14870	3242
821	14886	3223
822	14903	3205
823	14917	3186
824	14933	3167
825	14949	3149
826	14965	3130
827	14980	3111
828	14998	3093
829	15013	3074
830	15029	3056
831	15044	3037
832	15062	3019
833	15079	3001
834	15098	2983
835	15114	2964
836	15129	2946
837	15146	2928
838	15163	2909
839	15180	2891
840	15201	2874
841	15218	2855
842	15236	2837
843	15257	2820
844	15277	2802
845	15296	2784
846	15312	2766
847	15329	2747
848	15346	2729
849	15363	2711
850	15381	2693
851	15400	2675
852	15417	2656
853	15434	2638
854	15450	2620
855	15467	2602
856	15488	2584
857	15509	2566
858	15525	2548
859	15543	2530
860	15561	2512
861	15578	2493
862	15596	2475
863	15612	2457
864	15628	2439
865	15654	2422
866	15674	2404
867	15694	2386
868	15712	2368
869	15729	2350
870	15746	2332
871	15762	2313
872	15778	2295
873	15797	2277
874	15813	2259
875	15830	2240
876	15847	2222
877	15865	2204
878	15885	2186
879	15903	2168
880	15919	2150
881	15937	2132
882	15955	2114
883	15971	2095
884	15991	2077
885	16008	2059
886	16026	2041
887	16044	2023
888	16060	2005
889	16076	1987
890	16097	1969
891	16115	1951
892	16136	1933
893	16194	1920
894	16245	1905
895	16300	1892
896	16353	1877
897	16412	1864
898	16463	1849
899	16503	1833
900	16532	1816
901	16571	1800
902	16604	1783
903	16636	1766
904	16666	1749
905	16702	1732
906	16739	1716
907	16774	1699
908	16817	1683
909	16877	1669
910	16941	1655
911	16996	1640
912	17049	1624
913	17096	1608
914	17151	1593
915	17218	1579
916	17273	1563
917	17349	1549
918	17403	1533
919	17443	1516
920	17486	1499
921	17528	1482
922	17574	1466
923	17599	1447
924	17617	1428
925	17635	1409
926	17655	1390
927	17686	1372
928	17711	1353
929	17734	1334
930	17756	1316
931	17780	1297
932	17802	1278
933	17825	1259
934	17843	1240
935	17868	1221
936	17889	1202
937	17914	1184
938	17934	1165
939	17956	1146
940	17976	1127
941	17992	1107
942	18008	1088
943	18023	1069
944	18039	1049
945	18056	1030
946	18076	1011
947	18091	992
948	18107	973
949	18123	953
950	18137	934
951	18167	915
952	18183	896
953	18198	877
954	18213	858
955	18228	838
956	18246	819
957	18265	800
958	18280	781
959	18297	762
960	18313	743
961	18328	724
962	18344	704
963	18360	685
964	18375	666
965	18389	647
966	18404	628
967	18426	609
968	18440	589
969	18455	570
970	18474	551
971	18489	532
972	18505	513
973	18522	494
974	18537	475
975	18553	456
976	18569	437
977	18584	418
978	18602	399
979	18619	379
980	18635	360
981	18653	341
982	18669	322
983	18687	303
984	18705	284
985	18721	265
986	18736	246
987	18753	227
988	18769	208
989	18785	189
990	18803	170
991	18821	151
992	18839	132
993	18856	113
994	18874	94
995	18889	75
996	18906	56
997	18922	37
998	18941	18
999	18960	0
