iter	Logloss
227	0.6509353008
228	0.6508517653
229	0.6507809099
230	0.6507382603
231	0.650690086
232	0.6506475577
233	0.6505944758
234	0.650527056
235	0.6504533136
236	0.6503777349
237	0.6503070573
238	0.6502735384
239	0.6502318572
240	0.6501730125
241	0.6501265363
242	0.6500528831
243	0.6500155014
244	0.6499526374
245	0.6499118845
246	0.6498563775
247	0.6497784814
248	0.6497231151
249	0.6496576718
250	0.649593807
251	0.6495544578
252	0.6495139603
253	0.649476147
254	0.6494165101
255	0.6493553643
256	0.6493251842
257	0.6492716697
258	0.649220702
259	0.6491472976
260	0.6490855984
261	0.6490075282
262	0.6489357631
263	0.6488953277
264	0.6487948519
265	0.6487351152
266	0.6486772905
267	0.6485841392
268	0.6485329561
269	0.648452641
270	0.648386578
271	0.6483489409
272	0.648301832
273	0.6482116898
274	0.6481704082
275	0.6481101648
276	0.6480749179
277	0.6480521374
278	0.6480036123
279	0.6479357875
280	0.6478853777
281	0.6478237513
282	0.6477972212
283	0.6477527183
284	0.6476785111
285	0.6476445756
286	0.6475646487
287	0.6475081142
288	0.6474355049
289	0.64739588
290	0.6473569469
291	0.6473278894
292	0.647294395
293	0.6472280293
294	0.6471952301
295	0.6471572417
296	0.647086831
297	0.6470269032
298	0.6469706231
299	0.6469090159
300	0.6468698698
301	0.6468319194
302	0.6467579988
303	0.6467058727
304	0.6466626942
305	0.6466038187
306	0.6465573854
307	0.6464838995
308	0.6464256217
309	0.6463521555
310	0.6463192767
311	0.6462801158
312	0.6462663493
313	0.6462016079
314	0.6461681374
315	0.6461370627
316	0.646082983
317	0.6460382311
318	0.6460049242
319	0.6459684409
320	0.6459189697
321	0.6458701879
322	0.6458114692
323	0.6457650492
324	0.645712246
325	0.6456684141
326	0.645623355
327	0.6455408406
328	0.6455044948
329	0.6454385118
330	0.6453821362
331	0.6453395044
332	0.6452750779
333	0.6452301637
334	0.645205437
335	0.6451616641
336	0.6450985095
337	0.6450653708
338	0.6450204329
339	0.6449935382
340	0.6449559807
341	0.6449121555
342	0.644870288
343	0.6448315629
344	0.6447807052
345	0.6447295741
346	0.6446950938
347	0.6446178924
348	0.6445855793
349	0.6445061952
350	0.6444572454
351	0.6443909113
352	0.6443475208
353	0.6442927536
354	0.6442309788
355	0.644179567
356	0.6441383519
357	0.6441077249
358	0.6440399031
359	0.6440076421
360	0.6439426601
361	0.6438946806
362	0.6438615148
363	0.643803247
364	0.6437509794
365	0.6437153053
366	0.643647404
367	0.643613286
368	0.6435704329
369	0.643552335
370	0.6435063665
371	0.6434290631
372	0.6432909866
373	0.6432663252
374	0.6432182375
375	0.6431798761
376	0.643132415
377	0.643082849
378	0.6430319588
379	0.6429761199
380	0.6429456328
381	0.6428891132
382	0.6428404873
383	0.6427637719
384	0.6427161824
385	0.6426814188
386	0.6426469302
387	0.6426098637
388	0.6425291561
389	0.6424962114
390	0.6424467094
391	0.6424211596
392	0.6423810929
393	0.6423407255
394	0.6422775436
395	0.6422355798
396	0.6421664809
397	0.6421114662
398	0.6420782626
399	0.6420195168
400	0.6419487718
401	0.6418987601
402	0.6418347471
403	0.6418023322
404	0.6417833268
405	0.6417315855
406	0.6417048326
407	0.6416487419
408	0.6416047581
409	0.6415621311
410	0.641516025
411	0.6415062929
412	0.6414759571
413	0.6414232891
414	0.6413736681
415	0.641329999
416	0.6412879849
417	0.6412335464
418	0.6412200871
419	0.6411739878
420	0.6411125218
421	0.6410778169
422	0.6410429564
423	0.6409991146
424	0.6409799835
425	0.6409412625
426	0.6408821792
427	0.6408549198
428	0.6408091914
429	0.6407672815
430	0.6407268
431	0.6406437129
432	0.6405835691
433	0.6405449818
434	0.6404938519
435	0.640467679
436	0.6404120347
437	0.6403894899
438	0.6403395084
439	0.6402911143
440	0.6402691696
441	0.6402389751
442	0.6402022437
443	0.6401725698
444	0.6401313188
445	0.6400894453
446	0.6400614855
447	0.640023093
448	0.6399897084
449	0.6399105028
450	0.639856147
451	0.6398255497
452	0.639776966
453	0.6397627569
454	0.6397293481
455	0.6396838723
456	0.6396406062
457	0.6396120269
458	0.6395484344
459	0.6395247566
460	0.6394786677
461	0.6394265256
462	0.639387165
463	0.6393422208
464	0.6393102672
465	0.639250421
466	0.6392187162
467	0.6391553065
468	0.6391192491
469	0.6390693614
470	0.639033237
471	0.6390091572
472	0.6389769144
473	0.6389483071
474	0.6389068263
475	0.6388762059
476	0.6388278693
477	0.6387883276
478	0.6387666643
479	0.6387218476
480	0.6386962839
481	0.6386607559
482	0.6386237254
483	0.6385722633
484	0.638526399
485	0.6384699783
486	0.6384358573
487	0.6383943561
488	0.6383499094
489	0.6383117237
490	0.6382811051
491	0.6382496065
492	0.6382060838
493	0.6381608322
494	0.6381342862
495	0.6380680845
496	0.6380367951
497	0.6380072062
498	0.6379877223
499	0.6379414176
500	0.6379239025
501	0.6379004538
502	0.637888982
503	0.6378685
504	0.6378361362
505	0.6378043336
506	0.6377864459
507	0.6377492196
508	0.6377024791
509	0.6376918724
510	0.6376705765
511	0.6376297967
512	0.6375777785
513	0.6375235387
514	0.6374832123
515	0.6374248808
516	0.6373689611
517	0.6373384754
518	0.6373150828
519	0.6372901617
520	0.6372336819
521	0.637207437
522	0.6371882895
523	0.6371791515
524	0.637119942
525	0.6370776569
526	0.6370345531
527	0.6369953768
528	0.636976307
529	0.6369530131
530	0.6369351654
531	0.6369168747
532	0.6368833432
533	0.6368476644
534	0.6368187709
535	0.6367683831
536	0.6367248531
537	0.6367014928
538	0.6366499316
539	0.6366089726
540	0.6365760887
541	0.6365227311
542	0.6364634099
543	0.6364344668
544	0.6363909348
545	0.6363467443
546	0.6362924645
547	0.636267897
548	0.6362495151
549	0.6362112679
550	0.6361671301
551	0.6361374714
552	0.6361185107
553	0.6360771104
554	0.6360454302
555	0.6360270915
556	0.6359884615
557	0.6359703416
558	0.6359505203
559	0.6359372791
560	0.635919399
561	0.6358684156
562	0.6358464226
563	0.635813854
564	0.6357720702
565	0.6357478501
566	0.6357066227
567	0.6356564492
568	0.6356396614
569	0.6356159937
570	0.6355498098
571	0.6354932291
572	0.6354733911
573	0.6354570683
574	0.6354359934
575	0.6353902806
576	0.6353344369
577	0.6353134937
578	0.6352772049
579	0.6352344577
580	0.635206881
581	0.6351833487
582	0.6351731398
583	0.6351207085
584	0.6350837976
585	0.635064007
586	0.635045806
587	0.6350250626
588	0.6349805271
589	0.6349371374
590	0.6349013274
591	0.6348824723
592	0.6348438014
593	0.6348186988
594	0.6348035149
595	0.6347847802
596	0.6347666221
597	0.634716663
598	0.634677885
599	0.6346460114
600	0.6346091395
601	0.6345660315
602	0.6345204748
603	0.6345008868
604	0.6344706158
605	0.6344227487
606	0.6344014891
607	0.6343754596
608	0.6343535905
609	0.634327512
610	0.6343131293
611	0.6342694625
612	0.6342289476
613	0.6341879303
614	0.6341609833
615	0.63413962
616	0.6341146478
617	0.6340927127
618	0.6340575889
619	0.6340306564
620	0.6340045763
621	0.6339777337
622	0.633943059
623	0.633924715
624	0.6338896803
625	0.6338581245
626	0.6338167027
627	0.6337967466
628	0.633764833
629	0.6337520535
630	0.6336941465
631	0.6336436908
632	0.6336069508
633	0.6335909685
634	0.6335555477
635	0.6335277842
636	0.6335105321
637	0.633456615
638	0.6334390147
639	0.6334216265
640	0.6333899543
641	0.6333582027
642	0.6333261159
643	0.6332840749
644	0.6332608293
645	0.6332148895
646	0.6331660736
647	0.6331191445
648	0.6330903938
649	0.6330668897
650	0.6330161425
651	0.6329824168
652	0.6329551327
653	0.6328884034
654	0.6328566215
655	0.6328283428
656	0.6328042644
657	0.6327701272
658	0.6327547573
659	0.6327430396
660	0.6327092809
661	0.632682172
662	0.6326575421
663	0.6326111305
664	0.6325939738
665	0.6325675184
666	0.6325187044
667	0.6325072622
668	0.6324867549
669	0.632475882
670	0.6324597463
671	0.6324461093
672	0.6324180374
673	0.6324025727
674	0.6323599235
675	0.6323340927
676	0.6323080272
677	0.6322960057
678	0.6322545348
679	0.6322238326
680	0.6321995896
681	0.6321500079
682	0.6321170532
683	0.6320941255
684	0.6320697693
685	0.6320491833
686	0.63202336
687	0.6319729548
688	0.6319470334
689	0.6318991221
690	0.6318699755
691	0.631824168
692	0.6318013324
693	0.6317844268
694	0.6317627495
695	0.6317473089
696	0.6317305785
697	0.6317175825
698	0.6317003431
699	0.631685082
700	0.6316486038
701	0.6316173003
702	0.6315862434
703	0.6315753346
704	0.6315573418
705	0.6315301945
706	0.6315086817
707	0.6314862807
708	0.6314410986
709	0.631415789
710	0.6313834929
711	0.6313607388
712	0.6313377039
713	0.631289963
714	0.631263143
715	0.6312262302
716	0.6311959981
717	0.6311706078
718	0.6311450934
719	0.6311293993
720	0.6311076467
721	0.6310816871
722	0.6310400381
723	0.6309973431
724	0.6309568652
725	0.6309178292
726	0.6308980517
727	0.6308742773
728	0.6308538829
729	0.6308479852
730	0.6308149072
731	0.6307665592
732	0.6307318428
733	0.6306803293
734	0.6306422125
735	0.6306203012
736	0.6305898301
737	0.6305634252
738	0.6305486703
739	0.6305079415
740	0.6304749738
741	0.6304576363
742	0.6304321114
743	0.6303951825
744	0.6303814606
745	0.6303434058
746	0.6303185903
747	0.6303087247
748	0.6302578716
749	0.630221708
750	0.6302032025
751	0.6301825733
752	0.6301523256
753	0.630133801
754	0.6300721565
755	0.6300474001
756	0.6300094401
757	0.6299457731
758	0.6299129138
759	0.6298715672
760	0.6298453375
761	0.629819881
762	0.6297935194
763	0.6297634779
764	0.6297034027
765	0.62968152
766	0.6296668148
767	0.6296488299
768	0.6296110514
769	0.6295504123
770	0.6295103726
771	0.6294861471
772	0.6294623436
773	0.6294385848
774	0.6294094
775	0.6294013593
776	0.6293761699
777	0.6293522349
778	0.6293001413
779	0.6292534216
780	0.6292404917
781	0.6291763649
782	0.6291680115
783	0.6291204325
784	0.6290924505
785	0.6290630552
786	0.6289972383
787	0.6289451388
788	0.6289315708
789	0.6289228119
790	0.628898719
791	0.628889553
792	0.6288609879
793	0.6288451775
794	0.6288094177
795	0.6287830455
796	0.6287371194
797	0.6287135479
798	0.6286787159
799	0.6286467632
800	0.6286305136
801	0.6286083808
802	0.6285918281
803	0.6285652346
804	0.6285397732
805	0.6285168565
806	0.6284878704
807	0.6284470932
808	0.6283936516
809	0.6283218884
810	0.628291887
811	0.6282720899
812	0.6282423577
813	0.628212803
814	0.6281865032
815	0.6281640138
816	0.6281567337
817	0.6281278863
818	0.6281084992
819	0.6280658119
820	0.628035012
821	0.6280085745
822	0.6279809049
823	0.6279619748
824	0.6279327189
825	0.6279053636
826	0.6278884415
827	0.627862649
828	0.6278475728
829	0.6278238378
830	0.6278159743
831	0.6278063336
832	0.6277913019
833	0.6277734738
834	0.6277230889
835	0.6277125115
836	0.6277080915
837	0.6276834634
838	0.6276533026
839	0.6276361501
840	0.6276107356
841	0.6275680634
842	0.6275360088
843	0.6275089146
844	0.6274849212
845	0.6274636778
846	0.6274427413
847	0.6274115947
848	0.6273735017
849	0.6273587274
850	0.6273255997
851	0.6272937846
852	0.6272672987
853	0.6272534322
854	0.62721176
855	0.6271815169
856	0.6271502503
857	0.6270951252
858	0.6270588785
859	0.6270067123
860	0.6269650154
861	0.626946199
862	0.6269066381
863	0.6268722635
864	0.6268673857
865	0.6268411814
866	0.6268155001
867	0.6267996434
868	0.6267672912
869	0.6267403681
870	0.6267199599
871	0.6267088606
872	0.6266853323
873	0.6266574051
874	0.6266458307
875	0.6266179973
876	0.6266114103
877	0.6265630627
878	0.6265289763
879	0.6264660519
880	0.6264586164
881	0.6264402777
882	0.6264015977
883	0.626371302
884	0.6263520085
885	0.6263302335
886	0.6262837521
887	0.6262725878
888	0.6262415773
889	0.6262337012
890	0.6262176332
891	0.6261682332
892	0.6261500336
893	0.626125958
894	0.6260965454
895	0.6260605673
896	0.6260509548
897	0.6260268849
898	0.6260001517
899	0.6259730469
900	0.6259403641
901	0.6259176076
902	0.6259021994
903	0.6258548465
904	0.625839864
905	0.6258158636
906	0.6257883493
907	0.6257721945
908	0.6257560592
909	0.6257303498
910	0.6256913263
911	0.6256645787
912	0.6256191906
913	0.6255770431
914	0.6255525296
915	0.6255222783
916	0.6255019874
917	0.6254886334
918	0.6254687161
919	0.6254391326
920	0.6254114789
921	0.6253747475
922	0.6253551958
923	0.6253286161
924	0.6253024969
925	0.6252877797
926	0.6252652974
927	0.6252414766
928	0.6252106401
929	0.6251881129
930	0.6251530142
931	0.6251275386
932	0.6251148941
933	0.6250855198
934	0.6250668855
935	0.6250511673
936	0.6250381446
937	0.6250143957
938	0.6249829013
939	0.6249613638
940	0.6249299782
941	0.624913511
942	0.6248808321
943	0.624842683
944	0.6248062086
945	0.6247815093
946	0.6247614585
947	0.6247439388
948	0.6247213067
949	0.6246661994
950	0.6246481096
951	0.6246146888
952	0.6245632276
953	0.6244607252
954	0.6244477451
955	0.6244302009
956	0.6244070466
957	0.624374767
958	0.6243510718
959	0.6243281829
960	0.6243039132
961	0.6242728259
962	0.6242419838
963	0.6242160051
964	0.624182989
965	0.6241753175
966	0.6241579736
967	0.6241439861
968	0.6241283871
969	0.6240948569
970	0.6240800273
971	0.6240464546
972	0.6240353279
973	0.6239889004
974	0.6239696951
975	0.6239535006
976	0.623913298
977	0.6239043127
978	0.6238848428
979	0.623870202
980	0.6238437763
981	0.6238008099
982	0.6237867959
983	0.6237593168
984	0.6237390691
985	0.6237254797
986	0.6236939134
987	0.6236607013
988	0.6236335369
989	0.6236220461
990	0.6235835603
991	0.6235600162
992	0.6235308542
993	0.623503216
994	0.6234860724
995	0.6234781762
996	0.6234470005
997	0.6234253859
998	0.6234103505
999	0.6233741268
